"REGISTRACIJA";"Verzenios";"abemaciklib";"SZR";"film tableta; 100mg; blister, 2x14kom";"515-01-03002-20-001";"2021-06-11";"2026-06-11";"LILLY, S.A. - &#352;panija ";"PREDSTAVNI&#352;TVO ELI LILLY (SUISSE) SA, BEOGRAD (NOVI BEOGRAD)";"L01EF03";"8606106511376";"1039691";"Humani lekovi";"436973";"/";"";"29196";"1113";
"REGISTRACIJA";"Verzenios";"abemaciklib";"SZR";"film tableta; 150mg; blister, 2x14kom";"515-01-03003-20-001";"2021-06-11";"2026-06-11";"LILLY, S.A. - &#352;panija ";"PREDSTAVNI&#352;TVO ELI LILLY (SUISSE) SA, BEOGRAD (NOVI BEOGRAD)";"L01EF03";"8606106511383";"1039692";"Humani lekovi";"436981";"/";"";"29196";"1113";
"REGISTRACIJA";"Verzenios";"abemaciklib";"SZR";"film tableta; 50mg; blister, 2x14kom";"515-01-03001-20-001";"2021-06-11";"2026-06-11";"LILLY, S.A. - &#352;panija ";"PREDSTAVNI&#352;TVO ELI LILLY (SUISSE) SA, BEOGRAD (NOVI BEOGRAD)";"L01EF03";"8606106511396";"1039690";"Humani lekovi";"436928";"/";"";"29196";"1113";
"REGISTRACIJA";"Abirateron Corapharm";"abirateron";"R";"film tableta; 500mg; blister, 6x10kom";"515-01-00906-20-001";"2022-02-08";"2027-02-08";"SYNTHON BV - Holandija ";"CORAPHARM D.O.O.";"L02BX03";"8606107639338";"1039761";"Humani lekovi";"446998";"/";"";"8330";"30026";
"REGISTRACIJA";"Abirateron Corapharm";"abirateron";"R";"film tableta; 500mg; blister, 6x10kom";"515-01-00906-20-001";"2022-02-08";"2027-02-08";"SYNTHON HISPANIA, SL - &#352;panija ";"CORAPHARM D.O.O.";"L02BX03";"8606107639338";"1039761";"Humani lekovi";"446997";"/";"";"35977";"30026";
"REGISTRACIJA";"Abirateron Corapharm";"abirateron";"R";"tableta; 250mg; bo&#269;ica plasti&#269;na, 1x120kom";"515-01-00905-20-001";"2022-02-08";"2027-02-08";"SYNTHON BV - Holandija ";"CORAPHARM D.O.O.";"L02BX03";"8606107639321";"1039760";"Humani lekovi";"446993";"/";"";"8330";"30026";
"REGISTRACIJA";"Abirateron Corapharm";"abirateron";"R";"tableta; 250mg; bo&#269;ica plasti&#269;na, 1x120kom";"515-01-00905-20-001";"2022-02-08";"2027-02-08";"SYNTHON HISPANIA, SL - &#352;panija ";"CORAPHARM D.O.O.";"L02BX03";"8606107639321";"1039760";"Humani lekovi";"446992";"/";"";"35977";"30026";
"REGISTRACIJA";"Abirateron Krka";"abirateron";"R";"film tableta; 500mg; blister, 4x14kom";"515-01-04010-20-003";"2022-10-04";"2027-10-04";"KRKA  D.D., NOVO MESTO - Slovenija ";"KRKA-FARMA D.O.O. BEOGRAD";"L02BX03";"3838989729134";"1039093";"Humani lekovi";"454864";"/";"";"22968";"4027";
"REGISTRACIJA";"Abirateron Krka";"abirateron";"R";"film tableta; 500mg; blister, 4x14kom";"515-01-04010-20-003";"2022-10-04";"2027-10-04";"KRKA - FARMA D.O.O. - Hrvatska ";"KRKA-FARMA D.O.O. BEOGRAD";"L02BX03";"3838989729134";"1039093";"Humani lekovi";"454865";"/";"";"7431";"4027";
"REGISTRACIJA";"Abirateron Krka";"abirateron";"R";"film tableta; 500mg; blister, 5x12kom";"515-01-04011-20-003";"2022-10-04";"2027-10-04";"KRKA  D.D., NOVO MESTO - Slovenija ";"KRKA-FARMA D.O.O. BEOGRAD";"L02BX03";"3838989727451";"1039039";"Humani lekovi";"454868";"/";"";"22968";"4027";
"REGISTRACIJA";"Abirateron Krka";"abirateron";"R";"film tableta; 500mg; blister, 5x12kom";"515-01-04011-20-003";"2022-10-04";"2027-10-04";"KRKA - FARMA D.O.O. - Hrvatska ";"KRKA-FARMA D.O.O. BEOGRAD";"L02BX03";"3838989727451";"1039039";"Humani lekovi";"454869";"/";"";"7431";"4027";
"REGISTRACIJA";"Enagal&#174;";"abirateron";"R";"film tableta; 250mg; blister, 12x10kom";"515-01-03742-21-001";"2022-12-23";"2027-12-23";"REMEDICA LTD - Kipar ";"GALENIKA AD BEOGRAD";"L02BX03";"8608808190965";"1039095";"Humani lekovi";"461357";"/";"";"25898";"3226";
